index,bucket_value,pixel_count
NDVI,-0.412765,4
NDVI,-0.377508,4
NDVI,-0.332522,16
NDVI,-0.297206,37
NDVI,-0.258216,86
NDVI,-0.218698,155
NDVI,-0.178663,258
NDVI,-0.135298,704
NDVI,-0.093369,4682
NDVI,-0.059543,14509
NDVI,-0.024769,7050
NDVI,0.018140,2672
NDVI,0.058927,1507
NDVI,0.098554,1202
NDVI,0.138586,944
NDVI,0.179932,652
NDVI,0.219710,674
NDVI,0.260181,687
NDVI,0.300357,861
NDVI,0.341484,1194
NDVI,0.381488,1565
NDVI,0.420577,2178
NDVI,0.460801,2690
NDVI,0.500551,2975
NDVI,0.540298,3371
NDVI,0.580512,3665
NDVI,0.620339,4033
NDVI,0.660416,4549
NDVI,0.700564,5082
NDVI,0.740471,5620
NDVI,0.779438,5500
NDVI,0.815430,2893
NDVI,0.849267,228
NDVI,0.887456,7
NDSI,-0.574171,4
NDSI,-0.537640,13
NDSI,-0.497347,29
NDSI,-0.458584,45
NDSI,-0.422345,54
NDSI,-0.378234,100
NDSI,-0.336160,164
NDSI,-0.294404,691
NDSI,-0.256822,2642
NDSI,-0.218150,5328
NDSI,-0.178906,8585
NDSI,-0.139639,10777
NDSI,-0.098485,15143
NDSI,-0.061409,15678
NDSI,-0.022227,8525
NDSI,0.018923,5187
NDSI,0.059063,3828
NDSI,0.098805,2622
NDSI,0.137877,1551
NDSI,0.177010,691
NDSI,0.217988,301
NDSI,0.257642,157
NDSI,0.297790,80
NDSI,0.335780,36
NDSI,0.381952,17
NDSI,0.414154,9
NDSI,0.457060,3
NDSI,0.490158,1
BI,-0.534317,3
BI,-0.499837,7
BI,-0.455166,17
BI,-0.416518,39
BI,-0.378642,84
BI,-0.335746,303
BI,-0.293821,1472
BI,-0.259150,4035
BI,-0.216843,8017
BI,-0.179670,14181
BI,-0.140853,15292
BI,-0.100913,10240
BI,-0.061007,7960
BI,-0.021018,6165
BI,0.019412,4869
BI,0.059210,3922
BI,0.099323,2907
BI,0.138015,1943
BI,0.175706,647
BI,0.216396,138
BI,0.255572,17
BI,0.282144,1
CI,-0.456876,1
CI,-0.411149,8
CI,-0.371430,91
CI,-0.335017,632
CI,-0.295239,2319
CI,-0.257966,6028
CI,-0.219429,8836
CI,-0.179203,11735
CI,-0.139386,14784
CI,-0.102247,14593
CI,-0.060814,8700
CI,-0.021482,6510
CI,0.019128,4719
CI,0.056267,2560
CI,0.094560,604
CI,0.134523,97
CI,0.175949,24
CI,0.218945,13
CI,0.250609,4
CI,0.285681,3
CI,0.355984,0
NDMI,-0.490158,1
NDMI,-0.457060,3
NDMI,-0.414154,9
NDMI,-0.381952,17
NDMI,-0.335780,36
NDMI,-0.297790,80
NDMI,-0.257642,157
NDMI,-0.218108,299
NDMI,-0.177101,692
NDMI,-0.137903,1551
NDMI,-0.098821,2622
NDMI,-0.059083,3826
NDMI,-0.019176,5125
NDMI,0.022028,8575
NDMI,0.061368,15676
NDMI,0.098443,15145
NDMI,0.139608,10790
NDMI,0.178865,8572
NDMI,0.218095,5342
NDMI,0.256816,2643
NDMI,0.294404,691
NDMI,0.336160,164
NDMI,0.378234,100
NDMI,0.422345,54
NDMI,0.458584,45
NDMI,0.497347,29
NDMI,0.537640,13
NDMI,0.574171,4
BSI,34.070720,2
BSI,37.861606,5
BSI,42.456252,30
BSI,46.704572,171
BSI,50.479076,1282
BSI,54.150479,2922
BSI,58.066964,4045
BSI,62.051214,5099
BSI,66.016820,5578
BSI,70.068344,7574
BSI,74.087497,7765
BSI,78.128192,14472
BSI,81.775251,12394
BSI,85.856020,6409
BSI,89.929839,4555
BSI,93.879711,3441
BSI,97.823768,2382
BSI,101.870866,1668
BSI,105.924652,1177
BSI,109.813789,740
BSI,113.610674,396
BSI,117.468680,124
BSI,121.352473,26
BSI,125.832307,2
BSI,131.871713,1